Player,Team,Season,Position,Base Salary,Guaranteed Compensation,Date
Brett Levis,VAN,2019,D,71663,74163,6/1/19
Brett Levis,VAN,2019,D,71662.56,74162.56,9/13/19
Mikey Ambrose,ATL,2019,D,72352,72352,6/1/19
Mikey Ambrose,ATL,2019,D,72351.6,72351.6,9/13/19
Luis Felipe,SJE,2019,D,70875,71625,6/1/19
Luis Felipe,SJE,2019,D,70875,71625,9/13/19
Jimmy Ockford,SJE,2019,D,70875,70875,6/1/19
Olivier Mbaizo,PHI,2019,D,70875,70875,6/1/19
Jimmy Ockford,SJE,2019,D,70875,70875,9/13/19
Olivier Mbaizo,PHI,2019,D,70875,70875,9/13/19
Lawrence Olum,MIN,2019,D,70250.04,70250.04,9/13/19
Kofi Opare,COL,2019,D,70250.04,70250.04,9/13/19
RJ Allen,PHI,2019,D,70250.04,70250.04,9/13/19
Modou Jadama,POR,2019,D,70250.04,70250.04,9/13/19
Kyle Smith,ORL,2019,D,70250.04,70250.04,9/13/19
Sam Raben,COL,2019,D,70250.04,70250.04,9/13/19
Erik Holt,RSL,2019,D,70250.04,70250.04,9/13/19
Lawrence Olum,MIN,2019,D,70250,70250,6/1/19
Kofi Opare,COL,2019,D,70250,70250,6/1/19
Modou Jadama,POR,2019,D,70250,70250,6/1/19
Kyle Smith,ORL,2019,D,70250,70250,6/1/19
Sam Raben,COL,2019,D,70250,70250,6/1/19
Erik Holt,RSL,2019,D,70250,70250,6/1/19
Jacob Akanyirige,SJE,2019,D,62225.04,64225.04,9/13/19
Jacob Akanyirige,SJE,2019,D,62225,64225,6/1/19
Brandon Bye,NER,2019,D,59950,63245,6/1/19
Brandon Bye,NER,2019,D,59950.08,63244.93,9/13/19
Abdul Rwatubyaye,COL,2019,D,56250,62625,6/1/19
Abdul Rwatubyaye,COL,2019,D,56250,62625,9/13/19
Carter Manley,MIN,2019,D,57225,57225,6/1/19
Wyatt Omsberg,MIN,2019,D,57225,57225,6/1/19
Matthew Real,PHI,2019,D,57225,57225,6/1/19
Paul Marie,SJE,2019,D,57225,57225,6/1/19
Carter Manley,MIN,2019,D,57225,57225,9/13/19
Wyatt Omsberg,MIN,2019,D,57225,57225,9/13/19
Matthew Real,PHI,2019,D,57225,57225,9/13/19
Paul Marie,SJE,2019,D,57225,57225,9/13/19
Kamal Miller,ORL,2019,D,56250,56250,6/1/19
Chase Gasper,MIN,2019,D,56250,56250,6/1/19
Brendan McDonough,VAN,2019,D,56250,56250,6/1/19
Kamal Miller,ORL,2019,D,56250,56250,9/13/19
Chase Gasper,MIN,2019,D,56250,56250,9/13/19
Brendan McDonough,VAN,2019,D,56250,56250,9/13/19
Georges Mukumbilwa,VAN,2019,D,56250,56250,9/13/19
